region,display_name,emaps_zone,carbon_intensity_now,carbon_intensity_avg24h,datetime,error
westeurope,West Europe,NL,161.0,99.8,2026-09-20T17:00:00.000Z,
northeurope,North Europe,IE,303.0,224.8,2026-09-20T17:00:00.000Z,
germanywestcentral,Germany West Central,DE,213.0,168.9,2026-09-20T17:00:00.000Z,
germanynorth,Germany North,DE,213.0,168.9,2026-09-20T17:00:00.000Z,
francecentral,France Central,FR,29.0,23.5,2026-09-20T17:00:00.000Z,
francesouth,France South,FR,29.0,23.5,2026-09-20T17:00:00.000Z,
uksouth,UK South,GB,137.0,96.8,2026-09-20T17:00:00.000Z,
ukwest,UK West,GB,137.0,96.8,2026-09-20T17:00:00.000Z,
swedencentral,Sweden Central,SE,27.0,23.2,2026-09-20T17:00:00.000Z,
norwayeast,Norway East,NO-NO1,27.0,30.5,2026-09-20T17:00:00.000Z,
norwaywest,Norway West,NO-NO3,25.0,27.1,2026-09-20T17:00:00.000Z,
switzerlandnorth,Switzerland North,CH,39.0,53.2,2026-09-20T17:00:00.000Z,
austriaeast,Austria East,AT,123.0,139.0,2026-09-20T17:00:00.000Z,
belgiumcentral,Belgium Central,BE,231.0,117.3,2026-09-20T17:00:00.000Z,
denmarkeast,Denmark East,DK-DK1,103.0,82.8,2026-09-20T17:00:00.000Z,
polandcentral,Poland Central,PL,528.0,510.7,2026-09-20T17:00:00.000Z,
italynorth,Italy North,IT-NO,247.0,206.7,2026-09-20T17:00:00.000Z,
spaincentral,Spain Central,ES,152.0,121.8,2026-09-20T17:00:00.000Z,
finlandcentral,Finland,FI,50.0,46.6,2026-09-20T17:00:00.000Z,
eastus,East US,US-PJM,,,,HTTP 400
eastus2,East US 2,US-MIDA-PJM,418.0,425.9,2026-09-20T17:00:00.000Z,
centralus,Central US,US-MISO,,,,HTTP 400
northcentralus,North Central US,US-MISO,,,,HTTP 400
southcentralus,South Central US,US-TEX-ERCO,315.0,405.5,2026-09-20T17:00:00.000Z,
westus,West US,US-CAL-CISO,81.0,198.2,2026-09-20T17:00:00.000Z,
westus2,West US 2,US-NW-NWMT,671.0,653.5,2026-09-20T17:00:00.000Z,
westus3,West US 3,US-SW-AZPS,316.0,372.7,2026-09-20T17:00:00.000Z,
canadacentral,Canada Central,CA-ON,134.0,137.0,2026-09-20T17:00:00.000Z,
canadaeast,Canada East,CA-QC,53.0,56.5,2026-09-20T17:00:00.000Z,
brazilsouth,Brazil South,BR-CS,394.0,196.8,2026-09-20T17:00:00.000Z,
mexicocentral,Mexico Central,MX-BC,,,,HTTP 400
chilecentral,Chile Central,CL-SEN,134.0,273.9,2026-09-20T17:00:00.000Z,
israelcentral,Israel Central,IL,523.0,458.3,2026-09-20T17:00:00.000Z,
uaenorth,UAE North,AE,366.0,325.1,2026-09-20T17:00:00.000Z,
qatarcentral,Qatar Central,QA,490.0,490.0,2026-09-20T17:00:00.000Z,
southafricanorth,South Africa North,ZA,673.0,653.7,2026-09-20T17:00:00.000Z,
southeastasia,Southeast Asia,SG,497.0,482.0,2026-09-20T17:00:00.000Z,
eastasia,East Asia,HK,588.0,587.5,2026-09-20T17:00:00.000Z,
japaneast,Japan East,JP-TK,522.0,500.8,2026-09-20T17:00:00.000Z,
japanwest,Japan West,JP-KN,406.0,366.4,2026-09-20T17:00:00.000Z,
koreacentral,Korea Central,KR,427.0,390.5,2026-09-20T17:00:00.000Z,
centralindia,Central India,IN-SO,564.0,509.4,2026-09-20T17:00:00.000Z,
southindia,South India,IN-SO,564.0,509.4,2026-09-20T17:00:00.000Z,
westindia,West India,IN-WE,696.0,646.1,2026-09-20T17:00:00.000Z,
indiasouthcentral,India South Central,IN-SO,564.0,509.4,2026-09-20T17:00:00.000Z,
australiaeast,Australia East,AU-NSW,539.0,412.0,2026-09-20T17:00:00.000Z,
australiasoutheast,Australia Southeast,AU-VIC,357.0,280.1,2026-09-20T17:00:00.000Z,
newzealandnorth,New Zealand North,NZ,41.0,38.7,2026-09-20T17:00:00.000Z,
indonesiacentral,Indonesia Central,ID,671.0,666.0,2026-09-20T17:00:00.000Z,
malaysiawest,Malaysia West,MY,586.0,580.2,2026-09-20T17:00:00.000Z,
