Region,AccessFrequency,Performance,Redundancy,PricePerGB
australiacentral,Hot Tier,Premium SSD,LRS,0.218
australiacentral,Hot Tier,Premium SSD,GRS,na
australiacentral,Hot Tier,Premium SSD,ZRS,na
australiacentral,Hot Tier,Standard SSD,LRS,0.02
australiacentral,Hot Tier,Standard SSD,GRS,0.04
australiacentral,Hot Tier,Standard SSD,ZRS,na
australiacentral,Cold Tier,Premium SSD,LRS,na
australiacentral,Cold Tier,Premium SSD,GRS,na
australiacentral,Cold Tier,Premium SSD,ZRS,na
australiacentral,Cold Tier,Standard SSD,LRS,0.015
australiacentral,Cold Tier,Standard SSD,GRS,0.03
australiacentral,Cold Tier,Standard SSD,ZRS,na
australiacentral,Archive Tier,Premium SSD,LRS,na
australiacentral,Archive Tier,Premium SSD,GRS,na
australiacentral,Archive Tier,Premium SSD,ZRS,na
australiacentral,Archive Tier,Standard SSD,LRS,0.00326
australiacentral,Archive Tier,Standard SSD,GRS,0.00826
australiacentral,Archive Tier,Standard SSD,ZRS,na
australiacentral2,Hot Tier,Premium SSD,LRS,0.2175
australiacentral2,Hot Tier,Premium SSD,GRS,na
australiacentral2,Hot Tier,Premium SSD,ZRS,na
australiacentral2,Hot Tier,Standard SSD,LRS,0.02
australiacentral2,Hot Tier,Standard SSD,GRS,0.04
australiacentral2,Hot Tier,Standard SSD,ZRS,na
australiacentral2,Cold Tier,Premium SSD,LRS,na
australiacentral2,Cold Tier,Premium SSD,GRS,na
australiacentral2,Cold Tier,Premium SSD,ZRS,na
australiacentral2,Cold Tier,Standard SSD,LRS,0.015
australiacentral2,Cold Tier,Standard SSD,GRS,0.03
australiacentral2,Cold Tier,Standard SSD,ZRS,na
australiacentral2,Archive Tier,Premium SSD,LRS,na
australiacentral2,Archive Tier,Premium SSD,GRS,na
australiacentral2,Archive Tier,Premium SSD,ZRS,na
australiacentral2,Archive Tier,Standard SSD,LRS,0.005
australiacentral2,Archive Tier,Standard SSD,GRS,0.00826
australiacentral2,Archive Tier,Standard SSD,ZRS,na
australiaeast,Hot Tier,Premium SSD,LRS,0.218
australiaeast,Hot Tier,Premium SSD,GRS,na
australiaeast,Hot Tier,Premium SSD,ZRS,0.289
australiaeast,Hot Tier,Standard SSD,LRS,0.02
australiaeast,Hot Tier,Standard SSD,GRS,0.04
australiaeast,Hot Tier,Standard SSD,ZRS,0.025
australiaeast,Cold Tier,Premium SSD,LRS,na
australiaeast,Cold Tier,Premium SSD,GRS,na
australiaeast,Cold Tier,Premium SSD,ZRS,na
australiaeast,Cold Tier,Standard SSD,LRS,0.011
australiaeast,Cold Tier,Standard SSD,GRS,0.026
australiaeast,Cold Tier,Standard SSD,ZRS,0.0138
australiaeast,Archive Tier,Premium SSD,LRS,na
australiaeast,Archive Tier,Premium SSD,GRS,na
australiaeast,Archive Tier,Premium SSD,ZRS,na
australiaeast,Archive Tier,Standard SSD,LRS,0.002
australiaeast,Archive Tier,Standard SSD,GRS,0.0049
australiaeast,Archive Tier,Standard SSD,ZRS,na
australiasoutheast,Hot Tier,Premium SSD,LRS,0.218
australiasoutheast,Hot Tier,Premium SSD,GRS,na
