Region,Performance,Redundancy,PricePerGB
australiacentral,Standard HDD,LRS,0.064
australiacentral,Standard HDD,ZRS,na
australiacentral,Standard SSD,LRS,0.102
australiacentral,Standard SSD,ZRS,na
australiacentral,Premium SSD,LRS,0.132001953125
australiacentral,Premium SSD,ZRS,na
australiacentral,Ultra Disk,LRS,0.17374
australiacentral,Ultra Disk,ZRS,na
australiacentral2,Standard HDD,LRS,0.064
australiacentral2,Standard HDD,ZRS,na
australiacentral2,Standard SSD,LRS,0.102
australiacentral2,Standard SSD,ZRS,na
australiacentral2,Premium SSD,LRS,0.132001953125
australiacentral2,Premium SSD,ZRS,na
australiacentral2,Ultra Disk,LRS,0.17374
australiacentral2,Ultra Disk,ZRS,na
australiaeast,Standard HDD,LRS,0.064
australiaeast,Standard HDD,ZRS,na
australiaeast,Standard SSD,LRS,0.102
australiaeast,Standard SSD,ZRS,0.153
australiaeast,Premium SSD,LRS,0.132001953125
australiaeast,Premium SSD,ZRS,0.1980029296875
australiaeast,Ultra Disk,LRS,0.17374
australiaeast,Ultra Disk,ZRS,na
australiasoutheast,Standard HDD,LRS,0.064
australiasoutheast,Standard HDD,ZRS,na
australiasoutheast,Standard SSD,LRS,0.102
australiasoutheast,Standard SSD,ZRS,na
australiasoutheast,Premium SSD,LRS,0.132001953125
australiasoutheast,Premium SSD,ZRS,na
australiasoutheast,Ultra Disk,LRS,na
australiasoutheast,Ultra Disk,ZRS,na
austriaeast,Standard HDD,LRS,0.04
austriaeast,Standard HDD,ZRS,na
austriaeast,Standard SSD,LRS,0.075
austriaeast,Standard SSD,ZRS,0.1125
austriaeast,Premium SSD,LRS,0.145178466796875
austriaeast,Premium SSD,ZRS,0.2177677001953125
austriaeast,Ultra Disk,LRS,0.15549
austriaeast,Ultra Disk,ZRS,na
belgiumcentral,Standard HDD,LRS,0.04
belgiumcentral,Standard HDD,ZRS,na
belgiumcentral,Standard SSD,LRS,0.075
belgiumcentral,Standard SSD,ZRS,0.1125
belgiumcentral,Premium SSD,LRS,0.145178466796875
belgiumcentral,Premium SSD,ZRS,0.2177677001953125
belgiumcentral,Ultra Disk,LRS,0.15549
belgiumcentral,Ultra Disk,ZRS,na
brazilsouth,Standard HDD,LRS,0.096
brazilsouth,Standard HDD,ZRS,na
brazilsouth,Standard SSD,LRS,0.14
brazilsouth,Standard SSD,ZRS,0.21
brazilsouth,Premium SSD,LRS,0.227998046875
brazilsouth,Premium SSD,ZRS,0.3419970703125
brazilsouth,Ultra Disk,LRS,0.23944000000000001
brazilsouth,Ultra Disk,ZRS,na
brazilsoutheast,Standard HDD,LRS,0.1248
brazilsoutheast,Standard HDD,ZRS,na
brazilsoutheast,Standard SSD,LRS,0.2106025390625
brazilsoutheast,Standard SSD,ZRS,na
brazilsoutheast,Premium SSD,LRS,0.2963974609375
brazilsoutheast,Premium SSD,ZRS,na
brazilsoutheast,Ultra Disk,LRS,0.11972000000000001
brazilsoutheast,Ultra Disk,ZRS,na
canadacentral,Standard HDD,LRS,0.044
canadacentral,Standard HDD,ZRS,na
canadacentral,Standard SSD,LRS,0.0825
canadacentral,Standard SSD,ZRS,0.12375
canadacentral,Premium SSD,LRS,0.132001953125
canadacentral,Premium SSD,ZRS,0.1980029296875
canadacentral,Ultra Disk,LRS,0.14381
canadacentral,Ultra Disk,ZRS,na
canadaeast,Standard HDD,LRS,0.044
canadaeast,Standard HDD,ZRS,na
