region,displayName,isoCountryCode,regionCategory,instance,available,restriction_type,restriction_reason,sku_capacity,linux_price_hourly,spot_price_hourly,spot_discount_pct,currencyCode,unitOfMeasure
australiacentral,Australia Central,AU,Recommended,Standard_B4ms,unknown,,,,0.211,,,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_D4,unknown,,,,,,,,
australiacentral,Australia Central,AU,Recommended,Standard_D4_v2,unknown,,,,0.673,0.135,79.9,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_D4s_v3,unknown,,,,0.25,0.0462,81.5,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_D4s_v4,unknown,,,,0.24,0.044352,81.5,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_D4s_v5,unknown,,,,0.24,0.044352,81.5,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_D4s_v6,unknown,,,,0.252,0.04657,81.5,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_DS4_v2,unknown,,,,0.673,0.137023,79.6,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_E2_v3,unknown,,,,0.16,0.029568,81.5,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_E2s_v3,unknown,,,,0.16,0.029568,81.5,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_E2s_v4,unknown,,,,0.151,0.027905,81.5,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_E2s_v5,unknown,,,,0.151,0.027905,81.5,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_E2s_v6,unknown,,,,0.159,0.029383,81.5,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_F4,unknown,,,,0.26,0.052,80.0,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_F4s,unknown,,,,0.26,0.052936,79.6,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_F4s_v2,unknown,,,,0.222,0.034,84.7,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_FX4mds,unknown,,,,,,,,
australiacentral2,Australia Central 2,AU,Recommended,Standard_B4ms,unknown,,,,0.211,,,USD,1 Hour
australiacentral2,Australia Central 2,AU,Recommended,Standard_D4,unknown,,,,,,,,
australiacentral2,Australia Central 2,AU,Recommended,Standard_D4_v2,unknown,,,,0.673,0.0673,90.0,USD,1 Hour
australiacentral2,Australia Central 2,AU,Recommended,Standard_D4s_v3,unknown,,,,0.25,0.025,90.0,USD,1 Hour
australiacentral2,Australia Central 2,AU,Recommended,Standard_D4s_v4,unknown,,,,0.24,0.024,90.0,USD,1 Hour
australiacentral2,Australia Central 2,AU,Recommended,Standard_D4s_v5,unknown,,,,0.24,0.024,90.0,USD,1 Hour
