Region,AccessFrequency,Performance,Redundancy,PricePerGB
australiacentral,Hot Tier,Standard HDD,LRS,0.0276
australiacentral,Hot Tier,Standard HDD,GRS,0.0552
australiacentral,Hot Tier,Standard HDD,ZRS,na
australiacentral,Hot Tier,Standard HDD,GZRS,na
australiacentral,Hot Tier,Premium SSD,LRS,0.261
australiacentral,Hot Tier,Premium SSD,GRS,na
australiacentral,Hot Tier,Premium SSD,ZRS,na
australiacentral,Hot Tier,Premium SSD,GZRS,na
australiacentral,Cool Tier,Standard HDD,LRS,0.0225
australiacentral,Cool Tier,Standard HDD,GRS,0.045
australiacentral,Cool Tier,Standard HDD,ZRS,na
australiacentral,Cool Tier,Standard HDD,GZRS,na
australiacentral,Cool Tier,Premium SSD,LRS,na
australiacentral,Cool Tier,Premium SSD,GRS,na
australiacentral,Cool Tier,Premium SSD,ZRS,na
australiacentral,Cool Tier,Premium SSD,GZRS,na
australiacentral,Transaction Optimized,Standard HDD,LRS,0.066
australiacentral,Transaction Optimized,Standard HDD,GRS,0.11
australiacentral,Transaction Optimized,Standard HDD,ZRS,na
australiacentral,Transaction Optimized,Standard HDD,GZRS,na
australiacentral,Transaction Optimized,Premium SSD,LRS,na
australiacentral,Transaction Optimized,Premium SSD,GRS,na
australiacentral,Transaction Optimized,Premium SSD,ZRS,na
australiacentral,Transaction Optimized,Premium SSD,GZRS,na
australiacentral2,Hot Tier,Standard HDD,LRS,0.0276
australiacentral2,Hot Tier,Standard HDD,GRS,0.0552
australiacentral2,Hot Tier,Standard HDD,ZRS,na
australiacentral2,Hot Tier,Standard HDD,GZRS,na
australiacentral2,Hot Tier,Premium SSD,LRS,0.261
australiacentral2,Hot Tier,Premium SSD,GRS,na
australiacentral2,Hot Tier,Premium SSD,ZRS,na
australiacentral2,Hot Tier,Premium SSD,GZRS,na
australiacentral2,Cool Tier,Standard HDD,LRS,0.0225
australiacentral2,Cool Tier,Standard HDD,GRS,0.045
australiacentral2,Cool Tier,Standard HDD,ZRS,na
australiacentral2,Cool Tier,Standard HDD,GZRS,na
australiacentral2,Cool Tier,Premium SSD,LRS,na
australiacentral2,Cool Tier,Premium SSD,GRS,na
australiacentral2,Cool Tier,Premium SSD,ZRS,na
australiacentral2,Cool Tier,Premium SSD,GZRS,na
australiacentral2,Transaction Optimized,Standard HDD,LRS,0.066
australiacentral2,Transaction Optimized,Standard HDD,GRS,0.11
australiacentral2,Transaction Optimized,Standard HDD,ZRS,na
australiacentral2,Transaction Optimized,Standard HDD,GZRS,na
australiacentral2,Transaction Optimized,Premium SSD,LRS,na
australiacentral2,Transaction Optimized,Premium SSD,GRS,na
australiacentral2,Transaction Optimized,Premium SSD,ZRS,na
australiacentral2,Transaction Optimized,Premium SSD,GZRS,na
australiaeast,Hot Tier,Standard HDD,LRS,0.0276
australiaeast,Hot Tier,Standard HDD,GRS,0.0552
australiaeast,Hot Tier,Standard HDD,ZRS,0.0345
australiaeast,Hot Tier,Standard HDD,GZRS,0.0621
australiaeast,Hot Tier,Premium SSD,LRS,0.192
australiaeast,Hot Tier,Premium SSD,GRS,na
australiaeast,Hot Tier,Premium SSD,ZRS,0.24
australiaeast,Hot Tier,Premium SSD,GZRS,na
australiaeast,Cool Tier,Standard HDD,LRS,0.0225
australiaeast,Cool Tier,Standard HDD,GRS,0.045
australiaeast,Cool Tier,Standard HDD,ZRS,0.0281
australiaeast,Cool Tier,Standard HDD,GZRS,0.050625
australiaeast,Cool Tier,Premium SSD,LRS,na
australiaeast,Cool Tier,Premium SSD,GRS,na
australiaeast,Cool Tier,Premium SSD,ZRS,na
australiaeast,Cool Tier,Premium SSD,GZRS,na
australiaeast,Transaction Optimized,Standard HDD,LRS,0.066
australiaeast,Transaction Optimized,Standard HDD,GRS,0.11
australiaeast,Transaction Optimized,Standard HDD,ZRS,0.0825
australiaeast,Transaction Optimized,Standard HDD,GZRS,0.149
australiaeast,Transaction Optimized,Premium SSD,LRS,na
australiaeast,Transaction Optimized,Premium SSD,GRS,na
australiaeast,Transaction Optimized,Premium SSD,ZRS,na
australiaeast,Transaction Optimized,Premium SSD,GZRS,na
australiasoutheast,Hot Tier,Standard HDD,LRS,0.0276
australiasoutheast,Hot Tier,Standard HDD,GRS,0.0552
australiasoutheast,Hot Tier,Standard HDD,ZRS,na
australiasoutheast,Hot Tier,Standard HDD,GZRS,na
australiasoutheast,Hot Tier,Premium SSD,LRS,0.208
australiasoutheast,Hot Tier,Premium SSD,GRS,na
australiasoutheast,Hot Tier,Premium SSD,ZRS,na
australiasoutheast,Hot Tier,Premium SSD,GZRS,na
australiasoutheast,Cool Tier,Standard HDD,LRS,0.0225
australiasoutheast,Cool Tier,Standard HDD,GRS,0.045
australiasoutheast,Cool Tier,Standard HDD,ZRS,na
australiasoutheast,Cool Tier,Standard HDD,GZRS,na
australiasoutheast,Cool Tier,Premium SSD,LRS,na
australiasoutheast,Cool Tier,Premium SSD,GRS,na
australiasoutheast,Cool Tier,Premium SSD,ZRS,na
australiasoutheast,Cool Tier,Premium SSD,GZRS,na
australiasoutheast,Transaction Optimized,Standard HDD,LRS,0.066
australiasoutheast,Transaction Optimized,Standard HDD,GRS,0.11
australiasoutheast,Transaction Optimized,Standard HDD,ZRS,na
australiasoutheast,Transaction Optimized,Standard HDD,GZRS,na
australiasoutheast,Transaction Optimized,Premium SSD,LRS,na
australiasoutheast,Transaction Optimized,Premium SSD,GRS,na
australiasoutheast,Transaction Optimized,Premium SSD,ZRS,na
australiasoutheast,Transaction Optimized,Premium SSD,GZRS,na
austriaeast,Hot Tier,Standard HDD,LRS,0.0271
austriaeast,Hot Tier,Standard HDD,GRS,na
austriaeast,Hot Tier,Standard HDD,ZRS,0.0331
austriaeast,Hot Tier,Standard HDD,GZRS,na
austriaeast,Hot Tier,Premium SSD,LRS,0.192
austriaeast,Hot Tier,Premium SSD,GRS,na
austriaeast,Hot Tier,Premium SSD,ZRS,0.24
austriaeast,Hot Tier,Premium SSD,GZRS,na
austriaeast,Cool Tier,Standard HDD,LRS,0.015
austriaeast,Cool Tier,Standard HDD,GRS,na
austriaeast,Cool Tier,Standard HDD,ZRS,0.01875
austriaeast,Cool Tier,Standard HDD,GZRS,na
austriaeast,Cool Tier,Premium SSD,LRS,na
austriaeast,Cool Tier,Premium SSD,GRS,na
austriaeast,Cool Tier,Premium SSD,ZRS,na
austriaeast,Cool Tier,Premium SSD,GZRS,na
austriaeast,Transaction Optimized,Standard HDD,LRS,0.0577
austriaeast,Transaction Optimized,Standard HDD,GRS,na
austriaeast,Transaction Optimized,Standard HDD,ZRS,0.075
austriaeast,Transaction Optimized,Standard HDD,GZRS,na
austriaeast,Transaction Optimized,Premium SSD,LRS,na
austriaeast,Transaction Optimized,Premium SSD,GRS,na
austriaeast,Transaction Optimized,Premium SSD,ZRS,na
austriaeast,Transaction Optimized,Premium SSD,GZRS,na
belgiumcentral,Hot Tier,Standard HDD,LRS,0.0271
belgiumcentral,Hot Tier,Standard HDD,GRS,na
belgiumcentral,Hot Tier,Standard HDD,ZRS,0.0331
belgiumcentral,Hot Tier,Standard HDD,GZRS,na
belgiumcentral,Hot Tier,Premium SSD,LRS,0.192
belgiumcentral,Hot Tier,Premium SSD,GRS,na
belgiumcentral,Hot Tier,Premium SSD,ZRS,0.24
belgiumcentral,Hot Tier,Premium SSD,GZRS,na
belgiumcentral,Cool Tier,Standard HDD,LRS,0.015
belgiumcentral,Cool Tier,Standard HDD,GRS,na
belgiumcentral,Cool Tier,Standard HDD,ZRS,0.01875
belgiumcentral,Cool Tier,Standard HDD,GZRS,na
