,id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob,az_region,distance_km
0,364836,AFG-2020-3-973-212,2020,True,Clear,3,234.0,506,IS - Civilians,234.0,973,IS - Civilians,234.0,234,IS,9999.0,1,Civilians,2,"""Reuters News,2020-11-03,Vienna attacker was neutralised within nine minutes"";""Reuters News,2020-11-03,UPDATE 1-Islamic State claims responsibility for Vienna attack""",Reuters News;Reuters News,2020-11-03;2020-11-03,Vienna attacker was neutralised within nine minutes;UPDATE 1-Islamic State claims responsibility for Vienna attack,Austrian Authorities,1,Vienna city,"Vienna, Austria",Vienna bundesland,Vienna district,48.208285,16.373724,POINT (16.373724 48.208285),199113,Austria,305,Europe,1,1,2020-11-02 00:00:00.000,2020-11-02 00:00:00.000,0,0,4,0,4,4,4,,,austriaeast,0.33543666311152914
1,497841,AFG-2023-3-973-382,2023,True,Clear,3,234.0,506,IS - Civilians,234.0,973,IS - Civilians,234.0,234,IS,9999.0,1,Civilians,2,"""Reuters News,2023-10-26,Belgium charges Tunisian man in relation to Brussels Islamist attack"";""Associated Press Newswires,2023-10-19,Deadly attack in Belgium ignites fierce debate on failures of deportation policy""",Reuters News;Associated Press Newswires,2023-10-26;2023-10-19,Belgium charges Tunisian man in relation to Brussels Islamist attack;Deadly attack in Belgium ignites fierce debate on failures of deportation policy,Brussels Federal Prosecutor; IS,1,Brussels city,Brussels,Brussels-Capital region,,50.833333,4.333333,POINT (4.333333 50.833333),202689,Belgium,211,Europe,1,1,2023-10-16 00:00:00.000,2023-10-16 00:00:00.000,0,0,2,0,2,2,2,,,belgiumcentral,2.19186027645438
2,429872,BRA-2020-3-4446-1,2020,False,Clear,3,3176.0,3855,PCC - Civilians,3176.0,4446,PCC - Civilians,3176.0,3176,PCC,9999.0,1,Civilians,1,"""AM Post,2020-07-17,Hairdresser who would be killed by crime court is saved by police""",AM Post,2020-07-17,Hairdresser who would be killed by crime court is saved by police,AM Post,1,São Paulo town,,São Paulo state,São Paulo municipality,-23.5475,-46.63611,POINT (-46.63611 -23.5475),95307,Brazil,140,Americas,1,5,2020-02-01 00:00:00.000,2020-04-30 00:00:00.000,0,0,4,0,4,4,4,,,brazilsouth,0.682043977397679
3,432956,BRA-2021-3-4446-4,2021,False,Clear,3,3176.0,3855,PCC - Civilians,3176.0,4446,PCC - Civilians,3176.0,3176,PCC,9999.0,1,Civilians,2,"""Portal do Holanda,2021-06-15,Friends from Manaus are found dead in São Paulo; were missing"";""Portal do Holanda,2021-09-01,Faction executes member who ordered to kill friends from Manaus in Paraisópolis""",Portal do Holanda;Portal do Holanda,2021-06-15;2021-09-01,Friends from Manaus are found dead in São Paulo; were missing;Faction executes member who ordered to kill friends from Manaus in Paraisópolis,Portal do Holanda,1,São Paulo town,São Paulo,São Paulo state,São Paulo municipality,-23.5475,-46.63611,POINT (-46.63611 -23.5475),95307,Brazil,140,Americas,1,1,2021-06-03 00:00:00.000,2021-06-03 00:00:00.000,0,0,2,0,2,2,2,,,brazilsouth,0.682043977397679
4,466760,BRA-2022-3-4446-29,2022,True,Clear,3,3176.0,3855,PCC - Civilians,3176.0,4446,PCC - Civilians,3176.0,3176,PCC,9999.0,1,Civilians,1,"""O Tempo,2022-09-16,PCC kills woman who refused to kiss drug dealer in SP, says police""",O Tempo,2022-09-16,"PCC kills woman who refused to kiss drug dealer in SP, says police",O Tempo,1,São Paulo town,"According to the Civil Police, Karina, who worked as a caregiver for the elderly, was murdered in the Paraisópolis favela, in the south zone of São Paulo.",São Paulo state,São Paulo municipality,-23.5475,-46.63611,POINT (-46.63611 -23.5475),95307,Brazil,140,Americas,1,5,2022-08-14 00:00:00.000,2022-09-14 00:00:00.000,0,0,1,0,1,1,1,,,brazilsouth,0.682043977397679
5,417370,BRA-2020-3-1702-1,2020,False,Clear,3,772.0,1222,Comando Vermelho - Civilians,772.0,1702,Comando Vermelho - Civilians,772.0,772,Comando Vermelho,9999.0,1,Civilians,1,"""Folha de São Paulo ,2021-09-09,Traficantes mataram meninos desaparecidos há 9 meses em Belford Roxo (RJ), diz secretário""",Folha de São Paulo,2021-09-09,"Traficantes mataram meninos desaparecidos há 9 meses em Belford Roxo (RJ), diz secretário",Folha de São Paulo,1,Belford Roxo town,"Castelar favela

Belford Roxo (RJ)",Rio de Janeiro state,Belford Roxo municipality,-22.76417,-43.39944,POINT (-43.39944 -22.76417),96754,Brazil,140,Americas,1,1,2020-12-27 00:00:00.000,2020-12-27 00:00:00.000,0,0,3,0,3,3,3,,,brazilsoutheast,28.562081009955435
6,472220,BRA-2020-2-12693-0,2020,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,1,"""Informe Agora,2020-10-30,Tiroteio na Penha deixa três mortos em baque do TCP no CV""",Informe Agora,2020-10-30,Tiroteio na Penha deixa três mortos em baque do TCP no CV,Informe Agora,1,Rio de Janeiro town,"Maragogi Street, in Penha, in the North Zone of Rio.",Rio de Janeiro state,Rio de Janeiro municipality,-22.90278,-43.2075,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,1,2020-10-30 00:00:00.000,2020-10-30 00:00:00.000,3,0,0,0,3,3,3,,,brazilsoutheast,3.923997271629787
7,472235,BRA-2020-2-12693-1,2020,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,1,"""G1,2020-06-28,Tiroteio em festa junina no Rio termina com cinco mortos; criança de 10 anos está entre as vítimas""",G1,2020-06-28,Tiroteio em festa junina no Rio termina com cinco mortos; criança de 10 anos está entre as vítimas,G1,1,Rio de Janeiro town,"Anchieta, Rio de Janeiro/RJ.",Rio de Janeiro state,Rio de Janeiro municipality,-22.90278,-43.2075,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,1,2020-06-28 00:00:00.000,2020-06-28 00:00:00.000,0,0,4,1,5,5,5,,,brazilsoutheast,3.923997271629787
8,503243,BRA-2020-3-915-5,2020,False,Clear,3,22.0,448,Government of Brazil - Civilians,22.0,915,Government of Brazil - Civilians,22.0,22,Government of Brazil,9999.0,1,Civilians,2,"""Enfoco,2023-11-26, Caso João Pedro: Justiça vai ouvir policiais acusados do crime "";""G1,2022-03-03,Reprodução 3D do assassinato de João Pedro ajudou na denúncia contra policiais civis que viraram réus; VÍDEO""",Enfoco;G1,2023-11-26;2022-03-03,Caso João Pedro: Justiça vai ouvir policiais acusados do crime ;Reprodução 3D do assassinato de João Pedro ajudou na denúncia contra policiais civis que viraram réus; VÍDEO,Enfoco; G1,1,São Gonçalo town,"Salgueiro Complex, in São Gonçalo/RJ.",Rio de Janeiro state,São Gonçalo municipality,-22.82694,-43.05389,POINT (-43.05389 -22.82694),96754,Brazil,140,Americas,1,1,2020-05-18 00:00:00.000,2020-05-18 00:00:00.000,0,0,1,0,1,1,1,140,,brazilsoutheast,15.060456689929094
9,623353,BRA-2020-2-12693-2,2020,False,Clear,2,12693.0,11934,Comando Vermelho - Terceiro Comando Puro,12693.0,12693,Comando Vermelho - Terceiro Comando Puro,772.0,772,Comando Vermelho,4462.0,4462,Terceiro Comando Puro,1,"""Metrópoles,2025-02-18,Gang warfare: duo convicted of invading party and killing child.""",Metrópoles,2025-02-18,Gang warfare: duo convicted of invading party and killing child.,Metrópoles,1,Rio de Janeiro town,Ladeira das Palmeiras,Rio de Janeiro state,Rio de Janeiro municipality,-22.90278,-43.2075,POINT (-43.2075 -22.90278),96754,Brazil,140,Americas,1,4,2020-06-01 00:00:00.000,2020-06-30 00:00:00.000,0,0,1,1,2,2,2,,,brazilsoutheast,3.923997271629787
