name,displayName,regionalDisplayName,regionType,regionCategory,geographyGroup,geography,physicalLocation,latitude,longitude,availabilityZoneSupport,accessRestriction,isoCountryCode,country,C087,C098,C029,P029,C105,C100,C111,C138,C182,C155,C187
australiacentral,Australia Central,(Canberra) + Australia Central,Logical,Recommended,Australia,Australia,Canberra,-35.28,149.13,No,Restricted - supports specific customer scenarios such as disaster recovery within a specific geographic area,AU,Australia,1973.0,1973.0,1932.0,2022.0,1960,1974.0,1973.0,2023.0,2006.0,2004.0,2024.0
australiacentral2,Australia Central 2,(Canberra) + Australia Central 2,Logical,Recommended,Australia,Australia,Canberra,-35.28,149.13,No,Restricted - supports specific customer scenarios such as disaster recovery within a specific geographic area,AU,Australia,1973.0,1973.0,1932.0,2022.0,1960,1974.0,1973.0,2023.0,2006.0,2004.0,2024.0
australiaeast,Australia East,(New South Wales) + Australia East,Physical,Recommended,Australia,Australia,New South Wales,-33.87,151.21,Yes,None,AU,Australia,1973.0,1973.0,1932.0,2022.0,1960,1974.0,1973.0,2023.0,2006.0,2004.0,2024.0
australiasoutheast,Australia Southeast,(Victoria) + Australia Southeast,Physical,Recommended,Australia,Australia,Victoria,-37.81,144.96,No,None,AU,Australia,1973.0,1973.0,1932.0,2022.0,1960,1974.0,1973.0,2023.0,2006.0,2004.0,2024.0
austriaeast,Austria East,(Vienna) + Austria East,Physical,Recommended,Austria,Austria,Vienna,48.21,16.37,Yes,None,AT,Austria,1950.0,1951.0,1960.0,2019.0,1958,1953.0,1973.0,2000.0,2001.0,,2011.0
belgiumcentral,Belgium Central,(Brussels) + Belgium Central,Physical,Recommended,Belgium,Belgium,Brussels,50.85,4.35,Yes,None,BE,Belgium,1951.0,1953.0,1944.0,2019.0,1961,1952.0,1977.0,1988.0,2002.0,2011.0,2018.0
brazilsouth,Brazil South,(Sao Paulo State) + Brazil South,Physical,Recommended,Brazil,Brazil,Sao Paulo State,-23.55,-46.63,Yes,None,BR,Brazil,,1952.0,1957.0,2025.0,1965,1957.0,1965.0,2001.0,2000.0,1992.0,
brazilsoutheast,Brazil Southeast,(Rio) + Brazil Southeast,Logical,Recommended,Brazil,Brazil,Rio,-22.91,-43.17,No,Restricted - supports specific customer scenarios such as disaster recovery within a specific geographic area,BR,Brazil,,1952.0,1957.0,2025.0,1965,1957.0,1965.0,2001.0,2000.0,1992.0,
canadacentral,Canada Central,(Toronto) + Canada Central,Physical,Recommended,Canada,Canada,Toronto,43.65,-79.38,Yes,None,CA,Canada,1972.0,2017.0,2011.0,2019.0,1959,1972.0,1964.0,2016.0,2000.0,,2011.0
canadaeast,Canada East,(Quebec) + Canada East,Physical,Recommended,Canada,Canada,Quebec,46.81,-71.21,No,None,CA,Canada,1972.0,2017.0,2011.0,2019.0,1959,1972.0,1964.0,2016.0,2000.0,,2011.0
centralindia,Central India,(Pune) + Central India,Physical,Recommended,India,India,Pune,18.52,73.86,Yes,None,IN,India,,,1954.0,,2000,1958.0,1960.0,2017.0,2017.0,,
centralus,Central US,(Iowa) + Central US,Physical,Recommended,United States,United States,Iowa,41.59,-93.62,Yes,None,US,United States of America,,,,,1991,,,,1999.0,,
chilecentral,Chile Central,(Santiago) + Chile Central,Physical,Recommended,Chile,Chile,Santiago,-33.45,-70.67,Yes,None,CL,Chile,1999.0,1999.0,1933.0,2021.0,1999,1971.0,1971.0,1999.0,2000.0,2025.0,2011.0
denmarkeast,Denmark East,(Copenhagen) + Denmark East,Physical,Recommended,Denmark,Denmark,Copenhagen,55.68,12.57,Yes,None,DK,Denmark,1951.0,1955.0,1932.0,2017.0,1958,1960.0,1960.0,1997.0,2000.0,1995.0,2009.0
eastasia,East Asia,(Hong Kong) + East Asia,Physical,Recommended,Asia Pacific,Asia Pacific,Hong Kong,22.32,114.17,Yes,None,HK,,,,,,,,,,,,
eastus,East US,(Virginia) + East US,Physical,Recommended,United States,United States,Virginia,36.67,-78.39,Yes,None,US,United States of America,,,,,1991,,,,1999.0,,
eastus2,East US 2,(Virginia) + East US 2,Physical,Recommended,United States,United States,Virginia,36.83,-78.35,Yes,None,US,United States of America,,,,,1991,,,,1999.0,,
francecentral,France Central,(Paris) + France Central,Physical,Recommended,France,France,Paris,48.86,2.35,Yes,None,FR,France,1951.0,1951.0,1937.0,2016.0,1969,1953.0,1981.0,1990.0,2001.0,2026.0,2014.0
francesouth,France South,(Marseille) + France South,Logical,Recommended,France,France,Marseille,43.3,5.37,No,Restricted - supports specific customer scenarios such as disaster recovery within a specific geographic area,FR,France,1951.0,1951.0,1937.0,2016.0,1969,1953.0,1981.0,1990.0,2001.0,2026.0,2014.0
germanynorth,Germany North,(Berlin) + Germany North,Logical,Recommended,Germany,Germany,Berlin,52.52,13.4,No,Restricted - supports specific customer scenarios such as disaster recovery within a specific geographic area,DE,Germany,1957.0,1956.0,1956.0,2019.0,1959,1956.0,1961.0,1976.0,2002.0,2026.0,2010.0
germanywestcentral,Germany West Central,(Frankfurt) + Germany West Central,Physical,Recommended,Germany,Germany,Frankfurt,50.11,8.68,Yes,None,DE,Germany,1957.0,1956.0,1956.0,2019.0,1959,1956.0,1961.0,1976.0,2002.0,2026.0,2010.0
indiasouthcentral,India South Central,(Hyderabad) + India South Central,Physical,Recommended,India,India,Hyderabad,17.39,78.49,Yes,None,IN,India,,,1954.0,,2000,1958.0,1960.0,2017.0,2017.0,,
indonesiacentral,Indonesia Central,(Jakarta) + Indonesia Central,Physical,Recommended,Indonesia,Indonesia,Jakarta,-6.21,106.85,Yes,None,ID,Indonesia,1998.0,1957.0,1950.0,,1999,1958.0,1999.0,1999.0,2000.0,,2015.0
israelcentral,Israel Central,(Israel) + Israel Central,Physical,Recommended,Israel,Israel,Israel,32.08,34.78,Yes,None,IL,Israel,1957.0,1957.0,1955.0,2018.0,1958,1965.0,1959.0,1979.0,2005.0,,
