Region,SweatScore
australiacentral,10
australiacentral2,10
australiaeast,18
australiasoutheast,42
austriaeast,21
belgiumcentral,6
brazilsouth,5
brazilsoutheast,27
canadacentral,5
canadaeast,0
centralindia,232
centralus,4
chilecentral,1
denmarkeast,0
eastasia,5
eastus,7
eastus2,21
francecentral,25
francesouth,11
germanynorth,7
germanywestcentral,16
indiasouthcentral,160
indonesiacentral,46
israelcentral,7
italynorth,42
japaneast,88
japanwest,84
koreacentral,25
koreasouth,28
malaysiawest,98
mexicocentral,3
newzealandnorth,0
northcentralus,4
northeurope,0
norwayeast,0
norwaywest,0
polandcentral,6
qatarcentral,1084
southafricanorth,0
southafricawest,14
southcentralus,163
southeastasia,0
southindia,247
spaincentral,130
swedencentral,0
switzerlandnorth,9
switzerlandwest,8
uaecentral,860
uaenorth,850
uksouth,2
ukwest,1
westcentralus,2
westeurope,1
westindia,67
westus,33
westus2,42
westus3,921
